activity_id,user_id,show_id,watch_minutes,watch_hours
146,37,s3060,30,0.5
147,139,s7648,31,0.52
148,388,s8502,258,4.3
149,85,s836,195,3.25
150,129,s5591,157,2.62
151,167,s3125,70,1.17
152,422,s4936,126,2.1
153,228,s4423,29,0.48
154,109,s4552,121,2.02
155,446,s5640,184,3.07
156,451,s7108,87,1.45
157,69,s158,119,1.98
158,303,s4955,204,3.4
159,261,s41,59,0.98
160,485,s206,35,0.58
161,100,s4321,284,4.73
162,227,s8203,77,1.28
163,336,s4078,66,1.1
164,465,s1241,294,4.9
165,387,s3044,30,0.5
166,494,s2364,20,0.33
167,63,s44,208,3.47
168,247,s2361,180,3.0
169,313,s8634,76,1.27
170,112,s1662,287,4.78
171,94,s8191,169,2.82
172,169,s6146,250,4.17
173,5,s7982,201,3.35
174,243,s537,67,1.12
175,120,s2299,64,1.07
176,154,s1391,78,1.3
177,342,s7705,245,4.08
178,54,s6927,201,3.35
179,195,s1926,172,2.87
180,34,s7550,88,1.47
181,498,s2519,168,2.8
182,366,s1562,21,0.35
183,342,s3001,92,1.53
184,274,s435,75,1.25
185,227,s7952,296,4.93
186,178,s1431,225,3.75
187,412,s3637,287,4.78
188,132,s5547,248,4.13
189,301,s4861,185,3.08
190,130,s5384,11,0.18
191,420,s815,135,2.25
192,470,s911,71,1.18
193,428,s5422,54,0.9
194,388,s5259,257,4.28
195,421,s1372,79,1.32
196,381,s2734,193,3.22
197,322,s3623,24,0.4
198,290,s7691,91,1.52
199,394,s5060,185,3.08
200,255,s3691,250,4.17
201,470,s3614,112,1.87
202,292,s7489,33,0.55
203,315,s2549,145,2.42
204,410,s8141,83,1.38
205,166,s7478,162,2.7
206,389,s6636,212,3.53
207,139,s2867,74,1.23
208,80,s4402,247,4.12
209,334,s7749,35,0.58
210,103,s4811,247,4.12
211,43,s68,118,1.97
212,82,s5918,142,2.37
213,98,s4979,79,1.32
214,494,s3816,129,2.15
215,93,s6447,95,1.58
216,262,s2156,214,3.57
217,398,s8027,20,0.33
218,376,s3632,213,3.55
219,161,s1794,234,3.9
220,150,s2827,38,0.63
221,403,s1727,296,4.93
222,458,s1016,183,3.05
223,34,s8670,54,0.9
224,388,s320,280,4.67
225,462,s1036,239,3.98
226,17,s2255,289,4.82
227,100,s722,24,0.4
228,453,s2804,187,3.12
229,447,s1444,206,3.43
230,27,s6474,276,4.6
231,410,s7378,181,3.02
232,355,s1711,300,5.0
233,62,s3220,94,1.57
234,406,s367,218,3.63
235,382,s6668,109,1.82
236,162,s6588,253,4.22
237,292,s1733,174,2.9
238,57,s5321,164,2.73
239,283,s470,111,1.85
240,58,s3546,111,1.85
241,189,s2067,52,0.87
242,309,s3208,202,3.37
243,374,s806,87,1.45
244,12,s7421,108,1.8
245,334,s1078,185,3.08
246,303,s1496,57,0.95
247,259,s3446,65,1.08
248,434,s604,134,2.23
249,314,s4497,168,2.8
250,38,s5879,13,0.22
251,263,s7340,54,0.9
252,93,s7371,250,4.17
253,289,s2300,190,3.17
254,10,s5296,276,4.6
255,231,s733,19,0.32
256,333,s2229,285,4.75
257,81,s1750,167,2.78
258,148,s2167,170,2.83
259,446,s7804,178,2.97
260,461,s8601,282,4.7
261,471,s2068,63,1.05
262,281,s4548,240,4.0
263,114,s2718,221,3.68
264,376,s4742,17,0.28
265,387,s8223,250,4.17
266,343,s2533,266,4.43
267,494,s2819,237,3.95
268,94,s976,151,2.52
269,103,s164,270,4.5
270,37,s3824,208,3.47
271,265,s1771,40,0.67
272,58,s7478,121,2.02
273,213,s5865,179,2.98
274,192,s2847,96,1.6
275,48,s4124,196,3.27
276,424,s8448,64,1.07
277,144,s3727,209,3.48
278,115,s6066,13,0.22
279,26,s5094,146,2.43
280,98,s6524,32,0.53
281,32,s3253,66,1.1
282,402,s2419,199,3.32
283,460,s3707,141,2.35
284,297,s2639,224,3.73
285,464,s1700,253,4.22
286,384,s8720,181,3.02
287,442,s2926,272,4.53
288,113,s7919,231,3.85
289,167,s3485,28,0.47
290,131,s4310,142,2.37
291,191,s6625,102,1.7
292,73,s5895,32,0.53
293,74,s5892,36,0.6
294,458,s8007,72,1.2
295,33,s718,180,3.0
296,109,s3433,156,2.6
297,18,s3423,239,3.98
298,403,s1906,86,1.43
299,87,s5478,217,3.62
300,322,s634,162,2.7
301,402,s3988,39,0.65
302,127,s6773,153,2.55
303,485,s53,156,2.6
304,308,s2108,87,1.45
305,143,s4039,104,1.73
306,236,s3710,138,2.3
307,352,s422,90,1.5
308,417,s1168,189,3.15
309,228,s5129,298,4.97
310,102,s2173,227,3.78
311,464,s7550,295,4.92
312,42,s4689,257,4.28
313,369,s6616,17,0.28
314,285,s8516,113,1.88
315,168,s6595,15,0.25
316,208,s7369,126,2.1
317,281,s4220,42,0.7
318,409,s7940,130,2.17
319,238,s2731,64,1.07
320,472,s8145,213,3.55
321,393,s8309,36,0.6
322,440,s1088,65,1.08
323,365,s7045,170,2.83
324,242,s1259,56,0.93
325,149,s184,193,3.22
326,323,s5867,189,3.15
327,106,s4643,163,2.72
328,351,s420,262,4.37
329,288,s612,210,3.5
330,408,s7071,23,0.38
331,9,s838,128,2.13
332,377,s2058,209,3.48
333,434,s2887,126,2.1
334,155,s2261,102,1.7
335,156,s1177,80,1.33
336,375,s3081,50,0.83
337,211,s7467,296,4.93
338,45,s1309,237,3.95
339,301,s6548,88,1.47
340,234,s7937,98,1.63
341,411,s4243,150,2.5
342,309,s2171,118,1.97
343,297,s3124,196,3.27
344,130,s8784,212,3.53
345,316,s6543,110,1.83
346,348,s5063,180,3.0
347,147,s1801,200,3.33
348,422,s957,173,2.88
349,23,s1351,261,4.35
350,296,s1718,91,1.52
351,48,s2831,25,0.42
352,293,s1914,268,4.47
353,404,s7268,281,4.68
354,35,s3422,47,0.78
355,93,s1407,157,2.62
356,404,s8652,151,2.52
357,43,s255,226,3.77
358,223,s8464,191,3.18
359,191,s3603,218,3.63
360,446,s6386,180,3.0
361,7,s1975,193,3.22
362,254,s6496,18,0.3
363,370,s1905,122,2.03
364,315,s5408,67,1.12
365,176,s7152,147,2.45
366,377,s6226,96,1.6
367,404,s3324,143,2.38
368,235,s8704,80,1.33
369,83,s3373,109,1.82
370,116,s7139,109,1.82
371,481,s4918,264,4.4
372,485,s7885,159,2.65
373,113,s4801,245,4.08
374,435,s5984,196,3.27
375,393,s3644,29,0.48
376,328,s2401,128,2.13
377,494,s1528,74,1.23
378,127,s52,217,3.62
379,118,s4711,27,0.45
380,35,s5683,298,4.97
381,259,s7780,288,4.8
382,445,s8180,198,3.3
383,3,s2300,13,0.22
384,121,s8561,40,0.67
385,56,s8592,57,0.95
386,230,s550,274,4.57
387,360,s4463,234,3.9
388,241,s3173,38,0.63
389,354,s7962,76,1.27
390,37,s7653,105,1.75
391,217,s3110,95,1.58
392,54,s1817,136,2.27
393,276,s6502,113,1.88
394,230,s619,132,2.2
395,439,s359,37,0.62
396,160,s7586,31,0.52
397,268,s4654,101,1.68
398,294,s953,252,4.2
399,464,s5995,24,0.4
400,229,s4662,170,2.83
401,266,s4615,217,3.62
402,452,s8151,86,1.43
403,302,s1540,99,1.65
404,37,s7219,112,1.87
405,301,s4870,286,4.77
406,359,s709,178,2.97
407,101,s5452,167,2.78
408,121,s2183,256,4.27
409,101,s4749,106,1.77
410,43,s5662,121,2.02
411,451,s1265,229,3.82
412,244,s2228,119,1.98
413,419,s8381,31,0.52
414,282,s2666,93,1.55
415,383,s1618,166,2.77
416,320,s2185,30,0.5
417,395,s879,112,1.87
418,105,s6694,43,0.72
419,348,s7923,172,2.87
420,52,s5257,41,0.68
421,418,s4519,196,3.27
422,23,s312,208,3.47
423,411,s1844,46,0.77
424,332,s6530,148,2.47
425,26,s2857,118,1.97
426,120,s1557,159,2.65
427,145,s8540,164,2.73
428,21,s250,146,2.43
429,465,s2267,29,0.48
430,343,s7096,244,4.07
431,419,s2255,64,1.07
432,280,s1824,126,2.1
433,446,s8103,227,3.78
434,21,s3991,168,2.8
435,347,s5307,85,1.42
436,475,s3356,150,2.5
437,236,s4998,135,2.25
438,244,s3272,250,4.17
439,446,s1732,66,1.1
440,413,s6458,36,0.6
441,341,s3142,292,4.87
442,131,s5206,38,0.63
443,121,s6189,135,2.25
444,91,s6196,110,1.83
445,36,s3594,201,3.35
446,75,s6323,102,1.7
447,57,s1973,291,4.85
448,431,s2950,277,4.62
449,200,s5867,131,2.18
450,180,s8650,116,1.93
451,257,s3618,138,2.3
452,475,s2217,53,0.88
453,418,s9,161,2.68
454,314,s5271,142,2.37
455,159,s1147,178,2.97
456,258,s3376,49,0.82
457,404,s2103,278,4.63
458,499,s6193,167,2.78
459,461,s3933,271,4.52
460,191,s2912,24,0.4
461,168,s5207,224,3.73
462,435,s7125,229,3.82
463,432,s2222,31,0.52
464,221,s464,94,1.57
465,449,s8666,147,2.45
466,427,s7235,155,2.58
467,20,s2788,161,2.68
468,385,s1972,111,1.85
469,31,s1279,283,4.72
470,46,s1512,281,4.68
471,449,s5250,290,4.83
472,362,s3005,233,3.88
473,351,s5410,211,3.52
474,397,s6636,95,1.58
475,184,s6329,200,3.33
476,8,s7874,40,0.67
477,75,s1631,286,4.77
478,137,s7395,18,0.3
479,170,s5539,51,0.85
480,92,s4921,136,2.27
481,46,s789,20,0.33
482,35,s4777,293,4.88
483,437,s7904,43,0.72
484,86,s6634,136,2.27
485,454,s850,76,1.27
486,223,s6633,269,4.48
487,225,s1244,139,2.32
488,36,s4616,182,3.03
489,225,s7072,214,3.57
490,396,s2704,18,0.3
491,392,s6033,199,3.32
492,108,s4423,277,4.62
493,122,s7356,94,1.57
494,140,s7933,56,0.93
495,323,s3742,222,3.7
496,5,s3385,136,2.27
497,171,s3747,292,4.87
498,258,s6296,132,2.2
499,1,s6306,79,1.32
500,124,s1791,48,0.8
501,356,s7072,133,2.22
502,490,s7958,251,4.18
503,274,s1258,149,2.48
504,198,s3632,60,1.0
505,178,s6952,54,0.9
506,137,s8803,119,1.98
507,69,s2225,184,3.07
508,224,s8764,129,2.15
509,452,s4874,274,4.57
510,211,s7189,22,0.37
511,448,s6158,298,4.97
512,120,s676,184,3.07
513,249,s6183,190,3.17
514,226,s4737,114,1.9
515,450,s3326,273,4.55
516,482,s5349,285,4.75
517,477,s4288,62,1.03
518,101,s3679,149,2.48
519,43,s2600,97,1.62
520,192,s2022,116,1.93
521,310,s6424,214,3.57
522,138,s2173,296,4.93
523,468,s4220,131,2.18
524,227,s1277,22,0.37
525,63,s5576,22,0.37
526,119,s2227,74,1.23
527,153,s4761,21,0.35
528,439,s2289,59,0.98
529,264,s2322,155,2.58
530,218,s2446,109,1.82
531,223,s797,232,3.87
532,364,s2447,273,4.55
533,114,s4399,65,1.08
534,463,s7045,267,4.45
535,231,s6731,42,0.7
536,331,s5781,25,0.42
537,404,s800,76,1.27
538,316,s876,209,3.48
539,350,s1352,267,4.45
540,109,s351,207,3.45
541,230,s5493,154,2.57
542,8,s7054,223,3.72
543,47,s5572,273,4.55
544,260,s8616,35,0.58
545,473,s8572,152,2.53
546,60,s2980,127,2.12
547,295,s8360,217,3.62
548,192,s8426,75,1.25
549,66,s8037,208,3.47
550,29,s801,56,0.93
551,190,s5334,18,0.3
552,53,s3141,219,3.65
553,256,s4295,172,2.87
554,447,s7561,130,2.17
555,67,s8721,25,0.42
556,410,s3123,200,3.33
557,195,s5859,75,1.25
558,87,s4160,193,3.22
559,320,s5153,279,4.65
560,388,s6213,93,1.55
561,57,s5756,247,4.12
562,220,s7721,181,3.02
563,111,s2206,98,1.63
564,46,s2769,57,0.95
565,304,s8699,214,3.57
566,484,s1166,217,3.62
567,108,s3668,220,3.67
568,258,s3384,186,3.1
569,440,s1456,143,2.38
570,62,s3525,209,3.48
571,207,s2688,230,3.83
572,53,s1975,77,1.28
573,268,s5624,134,2.23
574,113,s6040,183,3.05
575,122,s6309,228,3.8
576,493,s313,95,1.58
577,283,s4894,43,0.72
578,288,s7648,270,4.5
579,59,s352,197,3.28
580,193,s4316,74,1.23
581,154,s4775,198,3.3
582,445,s7474,63,1.05
583,141,s5449,221,3.68
584,171,s7007,75,1.25
585,11,s7368,193,3.22
586,474,s6680,140,2.33
587,12,s6389,64,1.07
588,94,s8605,284,4.73
589,283,s6128,238,3.97
590,28,s5157,143,2.38
591,292,s5314,286,4.77
592,370,s4047,95,1.58
593,113,s6288,17,0.28
594,334,s8669,26,0.43
595,439,s3056,199,3.32
596,104,s3261,182,3.03
597,267,s4972,117,1.95
598,483,s2317,263,4.38
599,367,s1986,284,4.73
600,262,s2913,298,4.97
601,197,s3350,51,0.85
602,21,s5777,296,4.93
603,63,s5180,273,4.55
604,117,s1317,197,3.28
605,90,s6747,108,1.8
606,484,s6276,29,0.48
607,309,s5844,243,4.05
608,115,s1680,96,1.6
609,290,s1134,142,2.37
610,208,s1012,139,2.32
611,387,s1248,23,0.38
612,16,s1145,212,3.53
613,179,s6303,263,4.38
614,389,s4386,191,3.18
615,496,s8478,229,3.82
616,163,s7220,116,1.93
617,197,s3787,259,4.32
618,188,s8798,209,3.48
619,240,s7806,88,1.47
620,51,s5411,61,1.02
621,221,s4604,138,2.3
622,40,s4385,112,1.87
623,171,s1204,25,0.42
624,200,s861,292,4.87
625,29,s1030,255,4.25
626,101,s748,177,2.95
627,102,s7302,132,2.2
628,165,s1584,153,2.55
629,221,s7640,272,4.53
630,422,s7824,165,2.75
631,55,s1382,115,1.92
632,153,s7012,53,0.88
633,69,s7488,172,2.87
634,477,s3815,197,3.28
635,28,s6178,182,3.03
636,156,s4094,113,1.88
637,362,s8501,100,1.67
638,11,s308,207,3.45
639,329,s2362,104,1.73
640,242,s1983,45,0.75
641,31,s3083,281,4.68
642,458,s6221,226,3.77
643,295,s2433,27,0.45
644,299,s2105,100,1.67
645,338,s5729,73,1.22
646,308,s6181,238,3.97
647,374,s7339,11,0.18
648,386,s3106,64,1.07
649,239,s2881,249,4.15
650,340,s1571,203,3.38
651,358,s1804,248,4.13
652,101,s3093,123,2.05
653,323,s5053,107,1.78
654,391,s2210,295,4.92
655,125,s4681,123,2.05
656,62,s949,292,4.87
657,255,s3077,107,1.78
658,298,s5220,84,1.4
659,132,s1913,196,3.27
660,192,s1575,116,1.93
661,437,s8159,147,2.45
662,125,s1536,148,2.47
663,93,s8447,162,2.7
664,79,s3153,114,1.9
665,91,s2693,163,2.72
666,422,s5925,230,3.83
667,376,s3811,171,2.85
668,24,s4908,48,0.8
669,202,s457,143,2.38
670,455,s3547,154,2.57
671,16,s1496,154,2.57
672,370,s8755,295,4.92
673,222,s5174,128,2.13
674,393,s7167,161,2.68
675,203,s7616,93,1.55
676,101,s7679,88,1.47
677,44,s1470,185,3.08
678,346,s1914,174,2.9
679,154,s638,145,2.42
680,10,s4407,40,0.67
681,260,s2684,294,4.9
682,315,s1566,207,3.45
683,373,s103,112,1.87
684,95,s5438,254,4.23
685,14,s6188,286,4.77
686,151,s5343,160,2.67
687,407,s1208,174,2.9
688,59,s4119,72,1.2
689,426,s7857,297,4.95
690,20,s8419,254,4.23
691,6,s342,105,1.75
692,202,s7618,132,2.2
693,7,s1200,225,3.75
694,263,s6840,160,2.67
695,169,s3401,288,4.8
696,5,s8049,230,3.83
697,432,s6367,86,1.43
698,164,s8789,142,2.37
699,136,s6518,218,3.63
700,116,s7715,196,3.27
701,253,s8015,48,0.8
702,157,s789,266,4.43
703,18,s7651,148,2.47
704,232,s6443,109,1.82
705,30,s1966,134,2.23
706,57,s7558,134,2.23
707,499,s8771,196,3.27
708,479,s1470,140,2.33
709,364,s1923,209,3.48
710,470,s6379,298,4.97
711,224,s4034,130,2.17
712,79,s4599,207,3.45
713,168,s3886,122,2.03
714,267,s3,152,2.53
715,103,s2044,91,1.52
716,76,s1181,154,2.57
717,295,s8503,287,4.78
718,171,s5861,22,0.37
719,481,s5896,207,3.45
720,478,s7594,33,0.55
721,358,s2336,195,3.25
722,194,s4039,170,2.83
723,126,s60,105,1.75
724,455,s1261,36,0.6
725,475,s7552,185,3.08
726,210,s865,103,1.72
727,340,s1400,217,3.62
728,161,s2316,99,1.65
729,390,s8674,279,4.65
730,433,s8149,38,0.63
731,226,s2728,39,0.65
732,139,s1968,289,4.82
733,250,s1711,131,2.18
734,452,s1187,158,2.63
735,242,s8528,130,2.17
736,271,s6638,251,4.18
737,128,s8247,54,0.9
738,138,s4283,150,2.5
739,430,s5221,254,4.23
740,174,s6249,125,2.08
741,438,s8524,75,1.25
742,45,s4395,205,3.42
743,130,s969,107,1.78
744,370,s3936,198,3.3
745,206,s1633,238,3.97
746,332,s1734,290,4.83
747,293,s7510,143,2.38
748,57,s89,182,3.03
749,210,s1049,118,1.97
750,224,s2483,298,4.97
751,487,s2819,182,3.03
752,497,s2510,138,2.3
753,105,s652,181,3.02
754,394,s2681,93,1.55
755,34,s1800,142,2.37
756,55,s4539,225,3.75
757,120,s5762,250,4.17
758,397,s1722,120,2.0
759,206,s1879,251,4.18
760,81,s3615,271,4.52
761,195,s2708,185,3.08
762,31,s67,45,0.75
763,153,s4288,273,4.55
764,389,s7364,10,0.17
765,245,s5826,154,2.57
766,250,s7854,246,4.1
767,91,s5059,116,1.93
768,244,s2311,27,0.45
769,500,s8246,20,0.33
770,218,s1261,249,4.15
771,397,s812,224,3.73
772,195,s1027,209,3.48
773,266,s7470,144,2.4
774,60,s2966,271,4.52
775,303,s6157,217,3.62
776,480,s7600,224,3.73
777,132,s7070,29,0.48
778,231,s791,81,1.35
779,163,s1739,217,3.62
780,437,s3204,214,3.57
781,459,s8188,73,1.22
782,438,s8451,206,3.43
783,313,s6072,202,3.37
784,341,s4320,80,1.33
785,380,s6632,247,4.12
786,87,s3821,261,4.35
787,29,s4396,231,3.85
788,35,s4609,49,0.82
789,490,s5306,201,3.35
790,451,s245,42,0.7
791,182,s44,66,1.1
792,148,s4743,259,4.32
793,476,s730,42,0.7
794,159,s4811,137,2.28
795,454,s9,128,2.13
796,388,s1999,89,1.48
797,79,s5136,69,1.15
798,231,s4686,222,3.7
799,108,s3977,150,2.5
800,422,s780,263,4.38
801,69,s1130,56,0.93
802,111,s7922,18,0.3
803,373,s1890,188,3.13
804,392,s2921,15,0.25
805,265,s8778,19,0.32
806,246,s1432,240,4.0
807,5,s4054,216,3.6
808,400,s3205,74,1.23
809,287,s1533,203,3.38
810,202,s1870,21,0.35
811,92,s4018,178,2.97
812,408,s8708,109,1.82
813,383,s910,300,5.0
814,327,s1465,115,1.92
815,13,s8412,229,3.82
816,36,s4485,14,0.23
817,380,s3934,43,0.72
818,237,s6865,92,1.53
819,24,s219,181,3.02
820,185,s8807,280,4.67
821,150,s5507,293,4.88
822,313,s4172,20,0.33
823,168,s2058,195,3.25
824,73,s4635,105,1.75
825,462,s3232,139,2.32
826,468,s7849,100,1.67
827,87,s4976,37,0.62
828,346,s6874,50,0.83
829,488,s8456,15,0.25
830,141,s7833,114,1.9
831,490,s4350,222,3.7
832,245,s7197,117,1.95
833,422,s2182,38,0.63
834,433,s1867,189,3.15
835,479,s8586,36,0.6
836,98,s7162,140,2.33
837,103,s6340,158,2.63
838,221,s7515,281,4.68
839,346,s7638,195,3.25
840,396,s3432,187,3.12
841,354,s3295,75,1.25
842,171,s4499,62,1.03
843,143,s7401,210,3.5
844,488,s7180,127,2.12
845,227,s3125,10,0.17
846,14,s7402,122,2.03
847,284,s3598,280,4.67
848,334,s6445,215,3.58
849,485,s5782,52,0.87
850,106,s3701,231,3.85
851,7,s6388,270,4.5
852,221,s6165,94,1.57
853,82,s5895,10,0.17
854,95,s6548,28,0.47
855,128,s7542,208,3.47
856,473,s4603,69,1.15
857,341,s1994,103,1.72
858,328,s7596,139,2.32
859,91,s4033,228,3.8
860,141,s1285,138,2.3
861,418,s2676,245,4.08
862,199,s4321,147,2.45
863,358,s562,127,2.12
864,266,s8360,197,3.28
865,302,s6195,236,3.93
866,411,s7716,156,2.6
867,386,s5660,247,4.12
868,446,s7445,286,4.77
869,209,s5121,289,4.82
870,54,s127,282,4.7
871,234,s4013,50,0.83
872,398,s4488,238,3.97
873,253,s2885,231,3.85
874,360,s8252,294,4.9
875,324,s3699,15,0.25
876,431,s7426,253,4.22
877,378,s2561,136,2.27
878,115,s87,198,3.3
879,106,s3854,130,2.17
880,193,s3324,98,1.63
881,212,s81,103,1.72
882,461,s5290,197,3.28
883,9,s5626,130,2.17
884,59,s2198,253,4.22
885,455,s101,58,0.97
886,333,s6325,221,3.68
887,247,s5580,96,1.6
888,298,s4467,14,0.23
889,260,s3002,274,4.57
890,48,s5485,193,3.22
891,446,s8245,33,0.55
892,172,s5665,259,4.32
893,211,s3441,127,2.12
894,74,s1949,42,0.7
895,491,s3295,192,3.2
896,131,s2757,293,4.88
897,107,s4962,169,2.82
898,452,s8286,176,2.93
899,202,s2613,93,1.55
900,146,s7347,263,4.38
901,351,s2871,177,2.95
902,106,s4927,211,3.52
903,268,s8271,115,1.92
904,224,s3121,281,4.68
905,432,s1270,261,4.35
906,20,s4869,176,2.93
907,417,s7857,155,2.58
908,196,s8300,234,3.9
909,206,s3603,274,4.57
910,437,s2084,139,2.32
911,311,s7646,147,2.45
912,189,s7201,59,0.98
913,82,s5441,138,2.3
914,49,s6630,15,0.25
915,58,s8302,79,1.32
916,389,s2514,76,1.27
917,485,s6068,217,3.62
918,126,s8088,44,0.73
919,347,s1793,34,0.57
920,484,s4666,155,2.58
921,481,s4601,147,2.45
922,333,s4454,61,1.02
923,333,s4754,64,1.07
924,457,s3474,120,2.0
925,372,s7950,35,0.58
926,186,s4138,187,3.12
927,424,s864,188,3.13
928,100,s2158,30,0.5
929,193,s3806,126,2.1
930,445,s5622,278,4.63
931,440,s1720,140,2.33
932,249,s4388,131,2.18
933,422,s7248,177,2.95
934,249,s7668,38,0.63
935,330,s2979,209,3.48
936,385,s3237,214,3.57
937,156,s666,213,3.55
938,134,s2613,200,3.33
939,291,s5431,267,4.45
940,26,s4707,291,4.85
941,251,s4986,83,1.38
942,211,s5649,290,4.83
943,402,s2921,48,0.8
944,494,s670,145,2.42
945,81,s2986,24,0.4
946,353,s1394,76,1.27
947,359,s6887,138,2.3
948,349,s638,233,3.88
949,200,s4933,73,1.22
950,70,s5817,122,2.03
951,452,s4461,154,2.57
952,279,s7589,261,4.35
953,260,s4046,201,3.35
954,272,s8462,121,2.02
955,326,s44,212,3.53
956,488,s4511,131,2.18
957,360,s6136,10,0.17
958,206,s6797,41,0.68
959,402,s6723,97,1.62
960,73,s7746,239,3.98
961,365,s5203,30,0.5
962,480,s1048,206,3.43
963,163,s5990,102,1.7
964,53,s6726,23,0.38
965,118,s5398,23,0.38
966,141,s7928,45,0.75
967,131,s4802,96,1.6
968,145,s7268,197,3.28
969,3,s1326,52,0.87
970,231,s1052,254,4.23
971,344,s3863,140,2.33
972,387,s4404,175,2.92
973,51,s7433,65,1.08
974,208,s7385,13,0.22
975,377,s5613,229,3.82
976,69,s2737,171,2.85
977,166,s6724,249,4.15
978,500,s1115,225,3.75
979,442,s5893,129,2.15
980,163,s6845,171,2.85
981,290,s7260,65,1.08
982,70,s2611,258,4.3
983,429,s3110,290,4.83
984,22,s999,96,1.6
985,155,s7881,117,1.95
986,16,s6505,299,4.98
987,120,s1418,180,3.0
988,100,s7502,162,2.7
989,288,s3427,133,2.22
990,293,s2922,135,2.25
991,469,s7218,50,0.83
992,273,s5138,152,2.53
993,398,s6660,87,1.45
994,449,s7438,157,2.62
995,449,s7581,234,3.9
996,236,s23,69,1.15
997,379,s6853,100,1.67
998,278,s412,270,4.5
999,270,s1163,99,1.65
1000,450,s1084,164,2.73
1001,247,s4018,186,3.1
1002,16,s6442,171,2.85
1003,172,s2786,258,4.3
